이름,ticker,비율,타율,방치
undefined,a950170,1.00,NaN,1.00
보령 KOSPI,a003850,1.10,0.39,0.89
티앤알바이오팹 KOSDAQ,a246710,5.41,0.30,0.17
undefined,a377740,1.00,NaN,1.00
SK디스커버리 KOSPI,a006120,0.58,0.50,1.66
유비쿼스홀딩스 KOSDAQ,a078070,1.08,0.21,0.88
아바코 KOSDAQ,a083930,0.97,0.38,1.01
상신이디피 KOSDAQ,a091580,0.77,0.39,1.33
석경에이티 KOSDAQ,a357550,0.48,0.38,2.17
미원에스씨 KOSPI,a268280,1.72,0.33,0.58
고바이오랩 KOSDAQ,a348150,3.00,0.38,0.36
undefined,a424960,1.00,NaN,1.00
대상 KOSPI,a001680,1.06,0.41,0.93
LS증권 KOSDAQ,a078020,0.73,0.41,1.37
퀀타매트릭스 KOSDAQ,a317690,1.66,0.21,0.64
아바텍 KOSDAQ,a149950,1.03,0.40,0.94
CR홀딩스 KOSPI,a000480,1.67,0.67,0.60
넥센타이어 KOSPI,a002350,1.10,0.36,0.88
녹십자홀딩스 KOSPI,a005250,1.28,0.43,0.81
CG인바이츠 KOSDAQ,a083790,3.00,0.24,0.31
지놈앤컴퍼니 KOSDAQ,a314130,3.06,0.32,0.36
풍원정밀 KOSDAQ,a371950,1.72,0.33,0.60
유안타증권 KOSPI,a003470,0.45,0.42,2.24
와이지-원 KOSDAQ,a019210,0.35,0.33,2.82
진성티이씨 KOSDAQ,a036890,0.69,0.53,1.51
메디아나 KOSDAQ,a041920,0.25,0.31,3.91
넥스트칩 KOSDAQ,a396270,1.79,0.48,0.62
뉴엔AI KOSDAQ,a463020,1.00,NaN,1.00
undefined,a499790,1.00,NaN,1.00
대원전선 KOSPI,a006340,0.09,0.26,10.43
한국단자 KOSPI,a025540,0.65,0.25,1.53
컴투스홀딩스 KOSDAQ,a063080,2.64,0.23,0.39
자이글 KOSDAQ,a234920,0.33,0.25,3.15
undefined,a484810,1.00,NaN,1.00
에이스테크 KOSDAQ,a088800,1.58,0.30,0.79
유니셈 KOSDAQ,a036200,0.58,0.44,1.79
티움바이오 KOSDAQ,a321550,1.48,0.30,0.63
undefined,a384470,1.00,NaN,1.00
undefined,a0082n0,1.00,NaN,1.00
undefined,a079900,1.00,NaN,1.00
매커스 KOSDAQ,a093520,0.30,0.45,3.36
압타바이오 KOSDAQ,a293780,2.18,0.29,0.44
에이프로젠 KOSPI,a007460,0.78,0.00,1.29
파미셀 KOSPI,a005690,0.69,0.36,1.47
흥구석유 KOSDAQ,a024060,0.50,0.36,2.20
동원F&B KOSPI,a049770,0.83,0.25,1.21
큐브엔터 KOSDAQ,a182360,2.38,0.27,0.39
와이팜 KOSDAQ,a332570,0.27,0.36,3.86
해성산업 KOSDAQ,a034810,1.48,0.25,0.66
undefined,a180400,1.00,NaN,1.00
undefined,a462350,1.00,NaN,1.00
티케이케미칼 KOSDAQ,a104480,1.74,0.41,0.61
오로스테크놀로지 KOSDAQ,a322310,0.42,0.32,2.44
undefined,a456070,1.00,NaN,1.00
사조대림 KOSPI,a003960,0.86,0.19,1.18
BGF에코머티리얼즈 KOSDAQ,a126600,1.35,0.30,0.79
티웨이항공 KOSPI,a091810,1.68,0.27,0.57
동아쏘시오홀딩스 KOSPI,a000640,1.09,0.35,0.91
인크레더블버즈 KOSDAQ,a064090,1.39,NaN,0.72
알체라 KOSDAQ,a347860,4.54,0.38,0.24
비덴트 KOSDAQ,a121800,1.03,0.00,0.97
아나패스 KOSDAQ,a123860,1.28,0.30,0.81
지누스 KOSPI,a013890,2.80,0.30,0.35
유진기업 KOSDAQ,a023410,0.97,0.43,1.03
SNT모티브 KOSPI,a064960,1.34,0.30,0.74
에스와이 KOSDAQ,a109610,1.49,0.33,0.70
undefined,a452430,1.00,NaN,1.00
undefined,a461030,1.00,NaN,1.00
자화전자 KOSPI,a033240,0.49,0.31,2.15
SBS KOSPI,a034120,2.04,0.23,0.47
클라우드에어 KOSDAQ,a036170,0.24,0.34,4.26
undefined,a453450,1.00,NaN,1.00
대한해운 KOSPI,a005880,0.82,0.30,1.17
아스트 KOSDAQ,a067390,5.65,0.21,0.17
SK증권 KOSPI,a001510,0.21,0.18,5.01
undefined,a136150,1.00,NaN,1.00
undefined,a452190,1.00,NaN,1.00
undefined,a0015g0,1.00,NaN,1.00
제주은행 KOSPI,a006220,0.90,0.33,1.27
이엔플러스 KOSPI,a074610,8.00,0.21,0.11
와이씨켐 KOSDAQ,a112290,0.93,0.44,1.12
KX KOSDAQ,a122450,1.88,0.21,0.50
쿠쿠홈시스 KOSPI,a284740,1.29,0.36,0.79
undefined,a338840,1.00,NaN,1.00
undefined,a484120,1.00,NaN,1.00
엣지파운드리 KOSDAQ,a105550,3.37,0.22,0.27
undefined,a014830,1.23,NaN,0.81
쏘카 KOSPI,a403550,1.17,0.17,0.77
디아이 KOSPI,a003160,0.19,0.49,6.15
화신 KOSPI,a010690,0.81,0.47,1.34
undefined,a221800,0.63,NaN,1.60
케이카 KOSPI,a381970,1.20,0.33,0.81
LX홀딩스 KOSPI,a383800,0.96,0.31,1.05
현대홈쇼핑 KOSPI,a057050,0.55,0.44,1.82
제일일렉트릭 KOSDAQ,a199820,0.40,0.37,2.44
undefined,a459510,1.00,NaN,1.00
한섬 KOSPI,a020000,1.09,0.33,0.93
파세코 KOSDAQ,a037070,1.96,0.29,0.50
undefined,a451800,1.00,NaN,1.00
KCC글라스 KOSPI,a344820,1.46,0.35,0.68
포바이포 KOSDAQ,a389140,1.56,0.38,0.78
undefined,a482630,1.00,NaN,1.00
오상헬스케어 KOSDAQ,a036220,1.64,0.18,0.53
시너지이노베이션 KOSDAQ,a048870,1.91,0.39,0.56
APS KOSDAQ,a054620,2.42,0.24,0.38
SK디앤디 KOSPI,a210980,0.97,0.47,1.02
케이피에스 KOSDAQ,a256940,0.74,0.29,1.22
삼양홀딩스 KOSPI,a000070,1.06,0.45,0.93
영진약품 KOSPI,a003520,2.00,0.43,0.49
고려제강 KOSPI,a002240,0.90,0.44,1.24
SPC삼립 KOSPI,a005610,1.56,0.25,0.61
이트론 KOSDAQ,a096040,0.38,0.20,2.63
AP위성 KOSDAQ,a211270,0.61,0.38,1.76
undefined,a293940,1.00,NaN,1.00
모다이노칩 KOSDAQ,a080420,1.78,0.27,0.54
엑시콘 KOSDAQ,a092870,0.35,0.42,3.19
켐트로스 KOSDAQ,a220260,1.65,0.28,0.57
부광약품 KOSPI,a003000,1.54,0.45,0.65
부국증권 KOSPI,a001270,0.31,0.25,3.38
KG케미칼 KOSPI,a001390,0.94,0.38,1.09
로체시스템즈 KOSDAQ,a071280,0.90,0.30,1.05
쇼박스 KOSDAQ,a086980,1.17,0.32,0.81
DSC인베스트먼트 KOSDAQ,a241520,0.33,0.37,3.53
undefined,a365330,1.00,NaN,1.00
애경산업 KOSPI,a018250,0.73,0.17,1.26
네오팜 KOSDAQ,a092730,0.94,0.21,1.04
크리스에프앤씨 KOSDAQ,a110790,2.74,0.67,0.35
동아에스티 KOSPI,a170900,1.22,0.31,0.80
제닉 KOSDAQ,a123330,0.16,0.21,5.92
맥스트 KOSDAQ,a377030,4.48,0.24,0.23
한화손해보험 KOSPI,a000370,0.58,0.38,1.78
코오롱 KOSPI,a002020,0.41,0.40,2.49
아모텍 KOSDAQ,a052710,0.52,0.25,1.98
서연이화 KOSPI,a200880,0.56,0.37,1.98
undefined,a439580,1.00,NaN,1.00
카프로 KOSPI,a006380,1.67,0.33,0.60
undefined,a209640,1.00,NaN,1.00
undefined,a308430,1.00,NaN,1.00
undefined,a451760,1.00,NaN,1.00
비츠로테크 KOSDAQ,a042370,0.43,0.37,2.36
undefined,a460860,1.00,NaN,1.00
진원생명과학 KOSPI,a011000,8.00,0.25,0.12
콘텐트리중앙 KOSPI,a036420,3.92,0.21,0.24
